,Pavadinimas,Ketvirtis,Vertė
398,Kruonio HAE,2020-Q2,0.163
399,Hidroelektrinės,2020-Q2,0.075
400,Vėjo elektrinės,2020-Q2,0.325
401,Kiti atsinaujinantys energijos ištekliai,2020-Q2,0.155
402,"     Elektrinės, kūrenamos biomase    ",2020-Q2,0.055
403,"     Elektrinės, kūrenamos biodujomis",2020-Q2,0.037
404,     Saulės energijos elektrinės,2020-Q2,0.044
405,     Atliekų deginimo elektrinės,2020-Q2,0.019
406,Baterijų technologijos,2020-Q2,0.0
407,Komercinis sistemos balansas (-Importas/+eksportas),2020-Q2,-1.795
408,Elektros energijos gamyba (Neto),2020-Q3,1.428
409,Šiluminės elektrinės,2020-Q3,0.752
410,Kruonio HAE,2020-Q3,0.218
411,Hidroelektrinės,2020-Q3,0.044
412,Vėjo elektrinės,2020-Q3,0.268
413,Kiti atsinaujinantys energijos ištekliai,2020-Q3,0.147
414,"     Elektrinės, kūrenamos biomase    ",2020-Q3,0.051
415,"     Elektrinės, kūrenamos biodujomis",2020-Q3,0.035
416,     Saulės energijos elektrinės,2020-Q3,0.044
417,     Atliekų deginimo elektrinės,2020-Q3,0.017
418,Baterijų technologijos,2020-Q3,0.0
419,Komercinis sistemos balansas (-Importas/+eksportas),2020-Q3,-1.723
420,Elektros energijos gamyba (Neto),2020-Q4,1.355
421,Šiluminės elektrinės,2020-Q4,0.529
422,Kruonio HAE,2020-Q4,0.194
423,Hidroelektrinės,2020-Q4,0.062
424,Vėjo elektrinės,2020-Q4,0.435
425,Kiti atsinaujinantys energijos ištekliai,2020-Q4,0.136
426,"     Elektrinės, kūrenamos biomase    ",2020-Q4,0.068
427,"     Elektrinės, kūrenamos biodujomis",2020-Q4,0.04
428,     Saulės energijos elektrinės,2020-Q4,0.007
429,     Atliekų deginimo elektrinės,2020-Q4,0.02
430,Baterijų technologijos,2020-Q4,0.0
431,Komercinis sistemos balansas (-Importas/+eksportas),2020-Q4,-2.153
432,Elektros energijos gamyba (Neto),2021-Q1,1.194
433,Šiluminės elektrinės,2021-Q1,0.461
434,Kruonio HAE,2021-Q1,0.178
435,Hidroelektrinės,2021-Q1,0.105
436,Vėjo elektrinės,2021-Q1,0.333
437,Kiti atsinaujinantys energijos ištekliai,2021-Q1,0.116
438,"     Elektrinės, kūrenamos biomase    ",2021-Q1,0.043
439,"     Elektrinės, kūrenamos biodujomis",2021-Q1,0.037
440,     Saulės energijos elektrinės,2021-Q1,0.015
441,     Atliekų deginimo elektrinės,2021-Q1,0.022
442,Baterijų technologijos,2021-Q1,0.0
443,Komercinis sistemos balansas (-Importas/+eksportas),2021-Q1,-2.426
444,Elektros energijos gamyba (Neto),2021-Q2,1.165
445,Šiluminės elektrinės,2021-Q2,0.448
446,Kruonio HAE,2021-Q2,0.171
447,Hidroelektrinės,2021-Q2,0.104
448,Vėjo elektrinės,2021-Q2,0.292
449,Kiti atsinaujinantys energijos ištekliai,2021-Q2,0.15
450,"     Elektrinės, kūrenamos biomase    ",2021-Q2,0.036
451,"     Elektrinės, kūrenamos biodujomis",2021-Q2,0.038
452,     Saulės energijos elektrinės,2021-Q2,0.062
453,     Atliekų deginimo elektrinės,2021-Q2,0.014
454,Baterijų technologijos,2021-Q2,0.0
455,Komercinis sistemos balansas (-Importas/+eksportas),2021-Q2,-2.008
456,Elektros energijos gamyba (Neto),2021-Q3,1.095
457,Šiluminės elektrinės,2021-Q3,0.486
458,Kruonio HAE,2021-Q3,0.132
459,Hidroelektrinės,2021-Q3,0.067
460,Vėjo elektrinės,2021-Q3,0.268
461,Kiti atsinaujinantys energijos ištekliai,2021-Q3,0.142
462,"     Elektrinės, kūrenamos biomase    ",2021-Q3,0.022
463,"     Elektrinės, kūrenamos biodujomis",2021-Q3,0.038
464,     Saulės energijos elektrinės,2021-Q3,0.063
465,     Atliekų deginimo elektrinės,2021-Q3,0.019
466,Baterijų technologijos,2021-Q3,0.0
467,Komercinis sistemos balansas (-Importas/+eksportas),2021-Q3,-2.086
468,Elektros energijos gamyba (Neto),2021-Q4,1.239
469,Šiluminės elektrinės,2021-Q4,0.326
470,Kruonio HAE,2021-Q4,0.218
471,Hidroelektrinės,2021-Q4,0.104
472,Vėjo elektrinės,2021-Q4,0.463
473,Kiti atsinaujinantys energijos ištekliai,2021-Q4,0.128
474,"     Elektrinės, kūrenamos biomase    ",2021-Q4,0.054
475,"     Elektrinės, kūrenamos biodujomis",2021-Q4,0.037
476,     Saulės energijos elektrinės,2021-Q4,0.018
477,     Atliekų deginimo elektrinės,2021-Q4,0.019
478,Baterijų technologijos,2021-Q4,0.0
479,Komercinis sistemos balansas (-Importas/+eksportas),2021-Q4,-2.524
480,Elektros energijos gamyba (Neto),2022-Q1,1.273
481,Šiluminės elektrinės,2022-Q1,0.285
482,Kruonio HAE,2022-Q1,0.17
483,Hidroelektrinės,2022-Q1,0.173
484,Vėjo elektrinės,2022-Q1,0.514
485,Kiti atsinaujinantys energijos ištekliai,2022-Q1,0.131
